"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Run to Line","Ctrl+F10","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Edit","Delete","Delete","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Search","Open Search Dialog","Ctrl+Shift+F","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"C/C++ Source","Go to Next Member","Ctrl+Shift+Down","C/C++ Editor"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"C/C++ Source","Remove Block Comment","Ctrl+Shift+\","C/C++ Editor"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Edit","Restore Last C/C++ Selection","Alt+Shift+Down","C/C++ Editor"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Manifest Editor Source","Format Source","Ctrl+K, Ctrl+D","PDE editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Go to Line","Ctrl+G","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Edit","Select Previous C/C++ Element","Alt+Shift+Left","C/C++ Editor"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Debug","F5","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Step Over","F10","Debugging"
