"View","Zoom Out","Ctrl+-","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Matching Bracket","Ctrl+Shift+P","Editing in Structured Text Editors"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"C/C++ Source","Add Include","Ctrl+Shift+N","C/C++ Editor"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Window","Activate Editor","F12","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"File","New","Ctrl+N","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Project","Rebuild Last Target","F9","In Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Run/Debug","Run","F5","In Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Step Over","F10","Debugging"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"C/C++ Source","Add Block Comment","Ctrl+Shift+/","C/C++ Editor"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Next Sub-Tab","Ctrl+Tab","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"C/C++ Source","Remove Block Comment","Ctrl+Shift+\","C/C++ Editor"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Navigate","Next","Ctrl+.","In Windows"
"C/C++ Source","Find Declaration","Ctrl+G","In C/C++ Views"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Source","Add Block Comment","Ctrl+K, Ctrl+C","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Navigate","Backward History","Alt+Left","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
