"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor"
"Edit","Find and Replace","Ctrl+F","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Find Next","F3","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"C/C++ Source","Show Source Quick Menu","Alt+Shift+S","C/C++ Editor"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"Search","Open Search Dialog","Ctrl+Shift+F","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Source","Format","Ctrl+K, Ctrl+D","Editing Java Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"C/C++ Source","Go to Previous Member","Ctrl+Shift+Up","C/C++ Editor"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"C/C++ Source","Open Element","Ctrl+Shift+T","In C/C++ Views"
"Run/Debug","Step Return","Shift+F11","Debugging"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Run/Debug","Step Over","F10","Debugging"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Window","Activate Editor","F12","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"C/C++ Source","Open Declaration","F12","C/C++ Editor"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Run","Ctrl+F5","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Remove All Breakpoints","Ctrl+Shift+F9","In Breakpoints View"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Duplicate Lines","Ctrl+D","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Text Editing","Expand All","Ctrl+M, Ctrl+L","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"Source","Organize Imports","Ctrl+P","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Run/Debug","Step Into","F11","Debugging"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"File","New","Ctrl+Shift+N","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Edit","Add Bookmark","Ctrl+F2","In Windows"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+Up","C/C++ Editor"
"Edit","Word Completion","Alt+/","Editing Text"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Run/Debug","Debug","F5","In Windows"
"Manifest Editor Source","Format Source","Ctrl+K, Ctrl+D","PDE editor"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"File","Print","Ctrl+P","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Edit","Format","Ctrl+K, Ctrl+D","Editing in Structured Text Editors"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Go to Line","Ctrl+G","In Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
